order_id,customer_id,order_date,total_amount,status,shipping_address,shipping_city
1,170,2025-10-08,1940.89,delivered,974 Richard Cliffs Suite 005,West Alisha
2,15,2024-05-05,3305.35,delivered,1713 Garcia Land,New Michelle
3,51,2025-07-16,631.2,delivered,5498 Brown Avenue,South Charlesberg
4,92,2024-06-08,4032.21,shipped,03128 Ethan Summit,Andreamouth
5,57,2024-03-03,2013.96,shipped,578 Karina Mission Apt. 142,Greentown
6,149,2025-05-09,1203.44,shipped,3776 Bass Plaza Suite 292,Kellibury
7,52,2025-10-13,1467.48,pending,927 Carolyn Plain,New Rebecca
8,113,2024-10-15,1648.52,cancelled,75683 Clark Ville Suite 933,Port Sylviachester
9,174,2024-12-05,269.12,cancelled,866 Michael Ford,Palmerstad
10,70,2025-05-13,560.12,shipped,03976 Johnson Trace,East Alisha
11,130,2024-12-21,3192.96,shipped,85305 Pace Trafficway Apt. 334,Wallacehaven
12,141,2025-11-03,4348.22,delivered,900 Emily Via,Foxport
13,174,2024-12-28,2708.42,delivered,47619 Mathis Viaduct,Mooreberg
14,144,2025-05-03,1653.88,cancelled,443 Phillips Spurs,Paulastad
15,45,2025-05-23,1489.86,cancelled,89241 Olson Dam Suite 116,North Christyhaven
16,71,2025-03-05,1276.2,pending,12193 Parsons Roads Apt. 846,Lake Benjamin
17,85,2024-07-07,1880.86,pending,0242 John Crescent Apt. 406,Jacobsburgh
18,1,2024-12-10,1516.89,cancelled,8597 Vazquez Street Suite 260,Kellytown
19,178,2024-09-17,340.83,pending,8308 Tammy Square,South Christinefort
20,19,2025-11-10,330.36,pending,536 Norton Path Apt. 514,Donaldsonton
21,146,2024-10-01,4197.53,delivered,4778 Christopher Fall Suite 496,Taylormouth
22,99,2024-06-22,3680.65,shipped,74660 Bradley Fields,New Kendraport
23,187,2025-05-11,585.2,shipped,545 Hanson Ports Suite 385,Scottview
24,51,2024-03-24,1878.32,shipped,3540 William Garden Apt. 857,Scottburgh
25,3,2025-06-05,118.86,shipped,366 Madison Lock,Port Hannah
26,80,2024-05-22,400.55,pending,38868 Cunningham Walk Apt. 325,Brightmouth
27,87,2024-06-10,142.34,cancelled,067 Ashley Road Suite 436,Port Elizabethburgh
28,128,2024-03-01,1710.09,shipped,015 Paul Trail,North Frank
29,76,2025-07-02,2272.44,delivered,986 Dean Springs,New Randy
30,34,2024-03-05,195.9,pending,9898 Bowers Crossing,Travisside
31,47,2024-08-06,2843.85,cancelled,3673 David Lane Apt. 484,Erikamouth
32,146,2024-02-03,1475.1,cancelled,60678 Williamson Ramp Suite 430,Port Douglasmouth
33,73,2025-09-05,766.29,shipped,07186 Andrew Oval Apt. 929,West Pedrochester
34,179,2025-11-13,2541.6,delivered,77689 Wood Crescent Apt. 256,Sierraview
