order_id,order_date,customer_id,customer_name,customer_email,product_id,product_name,category_id,category_name,quantity,unit_price,line_total,order_total
1,2025-02-11,75,Dana Dyer,walkerbruce@example.net,143,Too Teach,19,Different,1,250.12,250.12,250.12
2,2024-01-27,115,Amy James,kelseybush@example.com,119,South Act,15,Hour,4,384.12,1536.48,2732.64
2,2024-01-27,115,Amy James,kelseybush@example.com,274,Stay Go,20,Mind,3,398.72,1196.16,2732.64
3,2024-08-21,124,David Johnson,robertwebb@example.net,219,Could Kid,1,Have,2,297.5,595.0,1698.43
3,2024-08-21,124,David Johnson,robertwebb@example.net,147,Direction Big,10,President,3,367.81,1103.43,1698.43
4,2024-05-08,155,Michael Baxter,davidsilva@example.com,6,Plan Discussion,7,Phone,4,434.61,1738.44,1738.44
5,2024-05-31,8,Samantha Benjamin,dustingray@example.com,115,Prove Make,10,President,2,43.36,86.72,1657.63
5,2024-05-31,8,Samantha Benjamin,dustingray@example.com,266,Second With,2,Deal,3,371.78,1115.34,1657.63
5,2024-05-31,8,Samantha Benjamin,dustingray@example.com,294,Whether Value,1,Have,1,455.57,455.57,1657.63
6,2024-10-05,65,Dylan Walker,edward17@example.com,7,Because Night,2,Deal,2,7.29,14.58,1031.34
6,2024-10-05,65,Dylan Walker,edward17@example.com,41,Traditional Image,1,Have,4,254.19,1016.76,1031.34
7,2024-11-14,107,Allen Lang,bjordan@example.net,148,Hot South,3,One,4,295.93,1183.72,4141.12
7,2024-11-14,107,Allen Lang,bjordan@example.net,213,Sort Half,18,Strong,3,50.51,151.53,4141.12
7,2024-11-14,107,Allen Lang,bjordan@example.net,93,Help Exist,12,Who,1,419.91,419.91,4141.12
7,2024-11-14,107,Allen Lang,bjordan@example.net,129,Water Another,2,Deal,3,303.9,911.6999999999999,4141.12
7,2024-11-14,107,Allen Lang,bjordan@example.net,262,Appear Spend,8,Nor,3,491.42,1474.26,4141.12
8,2025-08-04,54,Brett Hayes,venglish@example.com,169,Wrong Stop,7,Phone,4,442.09,1768.36,3689.72
8,2025-08-04,54,Brett Hayes,venglish@example.com,252,Travel Avoid,12,Who,3,24.12,72.36,3689.72
8,2025-08-04,54,Brett Hayes,venglish@example.com,155,Interest Congress,6,Several,4,146.02,584.08,3689.72
8,2025-08-04,54,Brett Hayes,venglish@example.com,32,Teacher Commercial,6,Several,4,316.23,1264.92,3689.72
9,2024-08-31,60,Jacqueline Lopez,jacksongina@example.net,123,Their Different,13,Past,1,194.47,194.47,2372.57
9,2024-08-31,60,Jacqueline Lopez,jacksongina@example.net,89,Member Four,15,Hour,2,317.99,635.98,2372.57
9,2024-08-31,60,Jacqueline Lopez,jacksongina@example.net,200,Available Both,14,Break,4,385.53,1542.12,2372.57
10,2024-02-25,133,Brittany Preston,egilbert@example.com,247,Role Per,19,Different,4,97.46,389.84,2839.58
10,2024-02-25,133,Brittany Preston,egilbert@example.com,171,Foot Arm,9,Wind,3,329.11,987.33,2839.58
10,2024-02-25,133,Brittany Preston,egilbert@example.com,166,Suggest Would,13,Past,4,298.21,1192.84,2839.58
10,2024-02-25,133,Brittany Preston,egilbert@example.com,280,Response Somebody,18,Strong,1,269.57,269.57,2839.58
11,2024-09-06,184,Austin Ortiz,haileybrown@example.com,183,Design Our,7,Phone,3,484.99,1454.97,3245.92
11,2024-09-06,184,Austin Ortiz,haileybrown@example.com,114,Focus Early,15,Hour,1,152.59,152.59,3245.92
11,2024-09-06,184,Austin Ortiz,haileybrown@example.com,126,Audience Rock,8,Nor,2,114.78,229.56,3245.92
11,2024-09-06,184,Austin Ortiz,haileybrown@example.com,196,Community Bill,9,Wind,3,469.6,1408.8000000000002,3245.92
12,2024-01-04,33,Brandon Hamilton,tracyadams@example.net,132,Wind Glass,18,Strong,1,450.02,450.02,675.22
12,2024-01-04,33,Brandon Hamilton,tracyadams@example.net,223,President Them,5,Peace,2,112.6,225.2,675.22
13,2025-07-31,196,Omar Lawson,butlersherry@example.org,42,Tv Enter,4,Choice,2,442.16,884.32,2791.43
13,2025-07-31,196,Omar Lawson,butlersherry@example.org,79,Unit Could,10,President,2,181.67,363.34,2791.43
13,2025-07-31,196,Omar Lawson,butlersherry@example.org,217,Receive Them,14,Break,2,267.58,535.16,2791.43
13,2025-07-31,196,Omar Lawson,butlersherry@example.org,125,General Respond,4,Choice,2,259.56,519.12,2791.43
13,2025-07-31,196,Omar Lawson,butlersherry@example.org,24,Task Wait,2,Deal,1,489.49,489.49,2791.43
14,2025-08-30,30,Jennifer King,rosstroy@example.org,220,Happen Per,8,Nor,1,250.71,250.71,250.71
15,2024-04-19,152,Jennifer Williams,omeadows@example.com,83,Total Drop,3,One,4,260.34,1041.36,1188.01
15,2024-04-19,152,Jennifer Williams,omeadows@example.com,277,Oil Stay,10,President,1,146.65,146.65,1188.01
16,2024-01-04,106,Abigail Davis,yhendrix@example.com,78,Woman Worker,1,Have,2,224.22,448.44,448.44
17,2025-01-12,5,Michael Chang,kellychad@example.net,65,Benefit Real,4,Choice,3,488.07,1464.21,2924.33
17,2025-01-12,5,Michael Chang,kellychad@example.net,153,Identify Answer,19,Different,2,476.91,953.82,2924.33
17,2025-01-12,5,Michael Chang,kellychad@example.net,205,Month Interesting,9,Wind,4,47.63,190.52,2924.33
17,2025-01-12,5,Michael Chang,kellychad@example.net,118,To Debate,8,Nor,3,105.26,315.78000000000003,2924.33
18,2024-06-05,68,Nicholas Burgess,allenkenneth@example.com,99,Culture Big,6,Several,1,67.3,67.3,964.9
18,2024-06-05,68,Nicholas Burgess,allenkenneth@example.com,60,Discover Business,10,President,3,166.65,499.95000000000005,964.9
18,2024-06-05,68,Nicholas Burgess,allenkenneth@example.com,290,Likely Concern,13,Past,3,132.55,397.65000000000003,964.9
19,2024-04-03,83,Alexis Everett,grichards@example.com,105,One Itself,4,Choice,3,306.35,919.0500000000001,919.05
20,2025-03-05,159,Abigail Stevens,heatherquinn@example.net,253,Tell Miss,19,Different,3,292.29,876.8700000000001,876.87
21,2025-06-18,152,Jennifer Williams,omeadows@example.com,12,Often Law,13,Past,3,226.43,679.29,2213.49
21,2025-06-18,152,Jennifer Williams,omeadows@example.com,176,Federal Pattern,10,President,3,355.92,1067.76,2213.49
21,2025-06-18,152,Jennifer Williams,omeadows@example.com,170,Miss Different,14,Break,2,233.22,466.44,2213.49
22,2025-06-05,88,Sandra Gutierrez,daniel33@example.org,44,Remember That,2,Deal,2,60.36,120.72,1031.4
22,2025-06-05,88,Sandra Gutierrez,daniel33@example.org,218,Top School,7,Phone,4,26.83,107.32,1031.4
22,2025-06-05,88,Sandra Gutierrez,daniel33@example.org,152,My Security,12,Who,2,401.68,803.36,1031.4
23,2024-12-09,131,Dr. Craig Macdonald,jennifer99@example.com,71,Party Example,10,President,3,84.14,252.42000000000002,511.98
23,2024-12-09,131,Dr. Craig Macdonald,jennifer99@example.com,125,General Respond,4,Choice,1,259.56,259.56,511.98
24,2025-10-28,141,Nathaniel Pierce,kinggeorge@example.com,133,Paper Cup,20,Mind,2,162.89,325.78,2291.46
24,2025-10-28,141,Nathaniel Pierce,kinggeorge@example.com,262,Appear Spend,8,Nor,4,491.42,1965.68,2291.46
25,2024-11-06,69,Ronnie Welch,turnermichelle@example.com,12,Often Law,13,Past,1,226.43,226.43,1397.15
25,2024-11-06,69,Ronnie Welch,turnermichelle@example.com,255,Rate Car,20,Mind,4,292.68,1170.72,1397.15
26,2024-05-04,52,Emily Mays,angelazimmerman@example.com,54,School Ball,8,Nor,1,192.76,192.76,559.99
26,2024-05-04,52,Emily Mays,angelazimmerman@example.com,98,Born Near,7,Phone,1,367.23,367.23,559.99
27,2025-02-23,35,Robert Alexander,johnspencer@example.com,36,Camera Prove,11,Young,4,416.65,1666.6,3902.45
27,2025-02-23,35,Robert Alexander,johnspencer@example.com,281,President Scientist,13,Past,2,258.78,517.56,3902.45
27,2025-02-23,35,Robert Alexander,johnspencer@example.com,242,Case Base,3,One,2,244.55,489.1,3902.45
27,2025-02-23,35,Robert Alexander,johnspencer@example.com,250,Your Physical,7,Phone,3,409.73,1229.19,3902.45
28,2024-02-10,158,Jacqueline Barker,gprice@example.org,239,Truth Move,12,Who,3,274.02,822.06,2737.21
28,2024-02-10,158,Jacqueline Barker,gprice@example.org,93,Help Exist,12,Who,3,419.91,1259.73,2737.21
28,2024-02-10,158,Jacqueline Barker,gprice@example.org,182,Anyone Rich,16,The,2,327.71,655.42,2737.21
29,2024-01-27,41,Christopher Garcia,keithturner@example.com,111,Compare Media,15,Hour,2,133.57,267.14,2037.53
29,2024-01-27,41,Christopher Garcia,keithturner@example.com,267,These Include,7,Phone,1,80.88,80.88,2037.53
29,2024-01-27,41,Christopher Garcia,keithturner@example.com,126,Audience Rock,8,Nor,4,114.78,459.12,2037.53
29,2024-01-27,41,Christopher Garcia,keithturner@example.com,21,Work Soldier,15,Hour,1,472.79,472.79,2037.53
29,2024-01-27,41,Christopher Garcia,keithturner@example.com,249,Fill Show,6,Several,2,378.8,757.6,2037.53
30,2024-08-10,81,Jordan Tucker,cordovamelissa@example.org,193,Down Up,18,Strong,4,260.78,1043.12,3434.03
30,2024-08-10,81,Jordan Tucker,cordovamelissa@example.org,194,Guy Director,8,Nor,4,215.51,862.04,3434.03
30,2024-08-10,81,Jordan Tucker,cordovamelissa@example.org,98,Born Near,7,Phone,1,367.23,367.23,3434.03
30,2024-08-10,81,Jordan Tucker,cordovamelissa@example.org,17,Family Interest,11,Young,4,290.41,1161.64,3434.03
31,2025-06-16,17,David Clark,bhouse@example.com,282,Other Be,8,Nor,2,191.67,383.34,2309.1
31,2025-06-16,17,David Clark,bhouse@example.com,56,Hit Clear,4,Choice,4,61.81,247.24,2309.1
31,2025-06-16,17,David Clark,bhouse@example.com,95,Song Color,11,Young,1,320.9,320.9,2309.1
31,2025-06-16,17,David Clark,bhouse@example.com,111,Compare Media,15,Hour,2,133.57,267.14,2309.1
