customer_id,name,email,total_spent,num_orders
34,Brent Kemp,christophergill@example.com,22820.380000000005,10
45,Debra Schroeder,laurieclark@example.com,20580.61,11
19,Harry Bruce,phall@example.com,19538.199999999997,9
123,Ryan Johnson,alexandra88@example.org,19192.18,6
191,Zachary Johnson,dawnharris@example.net,18333.87,8
196,Omar Lawson,butlersherry@example.org,18163.920000000002,6
91,Jose Frazier,greghale@example.net,18042.61,7
17,David Clark,bhouse@example.com,18018.63,8
65,Dylan Walker,edward17@example.com,17792.22,9
75,Dana Dyer,walkerbruce@example.net,17766.07,9
